"year","MHW","baseline_region","site","latitude","longitude","affiliated_mpa","mpa_class","mpa_designation","zone","transect","red_algae_branching_flat_blade","phaeophyceae","bryozoa","corynactis_californica","coralline_algae_crustose","desmarestia","hydroid","macrocystis_pyrifera","porifera","coralline_algae_erect_articulated","phyllospadix","tunicate_solitary","phragmatopoma_californica","thylacodes_squamigerus_petaloconchus_montereyensis","chlorophyta","tubeworm","clam","cirripedia","diopatra_chaetopterus_spp","cucumaria","tunicate_colonial_compund_social","dodecaceria_fewkesi","egregia_menziesii","dictyoneurum_californicum_reticulatum","dictyotales","diatom_layer","red_algae_leaf_like","stephanocystis_osmundacea","cup_coral","salmacina_tribranchiata","red_algae_encrusting","pachythyone_rubra","red_algae_lacy_branching","red_filamentous_turf","red_algae_cylindrical_branches","tubeworm_mat","stylaster_californicus","scallop","thylacodes_squamigerus","petaloconchus_montereyensis","red_fleshy_algae","octocoral","gorgonian_adult","mytilus_spp","sargassum_muticum","sargassum_horneri","heteropora_pacifica","phoronis_ijimai","tube_building_amphipods","tubeworm_colonial","dodecaceria_fewkesi_concharum","nereocystis_luetkeana","watersipora_subtorquata","gersemia_rubiformis","caprellidae","sargassum_palmeri"
2007,"before","CENTRAL","BLUEFISH_DC",36.52381268,-121.945094,"Point Lobos SMR","SMR","SMR","INNER","1",37.5,0,0,0,12.5,8.3,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,4.2,12.5,0,4.2,0,0,0,4.2,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"before","CENTRAL","BLUEFISH_DC",36.52381268,-121.945094,"Point Lobos SMR","SMR","SMR","INNER","2",50,0,0,0,3.3,0,0,0,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"before","CENTRAL","BLUEFISH_DC",36.52381268,-121.945094,"Point Lobos SMR","SMR","SMR","MID","1",7.3,0,7.3,0,12.7,0,0,1.8,7.3,3.6,0,0,23.6,0,0,0,0,1.8,0,0,18.2,0,0,0,0,0,1.8,0,10.9,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"before","CENTRAL","BLUEFISH_DC",36.52381268,-121.945094,"Point Lobos SMR","SMR","SMR","MID","2",6.9,0,6.9,0,6.9,1.7,1.7,3.4,5.2,20.7,0,0,17.2,0,0,0,0,0,0,0,12.1,0,0,0,0,0,1.7,0,5.2,0,5.2,0,3.4,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"before","CENTRAL","BLUEFISH_DC",36.52381268,-121.945094,"Point Lobos SMR","SMR","SMR","OUTER","1",47.5,6.8,6.8,0,16.9,3.4,0,0,3.4,3.4,0,0,0,0,0,0,0,0,0,0,3.4,1.7,0,0,0,0,1.7,0,3.4,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"before","CENTRAL","BLUEFISH_DC",36.52381268,-121.945094,"Point Lobos SMR","SMR","SMR","OUTER","2",36.7,1.7,0,1.7,16.7,5,0,0,1.7,11.7,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,3.3,0,18.3,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"before","CENTRAL","BLUEFISH_UC",36.522225,-121.943542,"Point Lobos SMR","SMR","SMR","INNER","1",0,12.3,0,0,1.8,26.3,0,0,0,57.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"before","CENTRAL","BLUEFISH_UC",36.522225,-121.943542,"Point Lobos SMR","SMR","SMR","INNER","2",2.3,2.3,0,0,4.5,0,0,0,0,77.3,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"before","CENTRAL","BLUEFISH_UC",36.522225,-121.943542,"Point Lobos SMR","SMR","SMR","MID","1",6,0,0,0,16,4,0,0,0,58,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"before","CENTRAL","BLUEFISH_UC",36.522225,-121.943542,"Point Lobos SMR","SMR","SMR","MID","2",7.4,0,0,0,11.1,0,0,0,1.9,40.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,5.6,1.9,0,7.4,0,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"before","CENTRAL","BLUEFISH_UC",36.522225,-121.943542,"Point Lobos SMR","SMR","SMR","OUTER","1",8.3,0,0,0,16.7,4.2,0,2.1,2.1,41.7,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,8.3,0,4.2,0,4.2,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"before","CENTRAL","BLUEFISH_UC",36.522225,-121.943542,"Point Lobos SMR","SMR","SMR","OUTER","2",0,0,0,0,31.7,7.3,0,4.9,2.4,24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,2.4,4.9,0,0,0,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"before","CENTRAL","BUTTERFLY_DC",36.537439,-121.93567,"Carmel Bay SMCA","SMCA","SMCA","INNER","1",26.7,23.3,0,0,0,3.3,0,0,3.3,13.3,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,26.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"before","CENTRAL","BUTTERFLY_DC",36.537439,-121.93567,"Carmel Bay SMCA","SMCA","SMCA","INNER","2",23.3,10,0,0,0,10,0,0,6.7,13.3,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"before","CENTRAL","BUTTERFLY_DC",36.537439,-121.93567,"Carmel Bay SMCA","SMCA","SMCA","MID","1",32.1,0,0,0,17.9,0,0,3.6,0,3.6,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,17.9,3.6,0,0,3.6,0,7.1,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"before","CENTRAL","BUTTERFLY_DC",36.537439,-121.93567,"Carmel Bay SMCA","SMCA","SMCA","MID","2",43.3,3.3,0,0,6.7,16.7,0,3.3,0,10,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,0,0,6.7,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"before","CENTRAL","BUTTERFLY_DC",36.537439,-121.93567,"Carmel Bay SMCA","SMCA","SMCA","OUTER","1",26.7,0,0,0,6.7,0,0,0,16.7,6.7,0,0,0,0,0,0,0,0,3.3,0,10,6.7,0,0,0,0,13.3,0,3.3,0,0,0,3.3,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"before","CENTRAL","BUTTERFLY_DC",36.537439,-121.93567,"Carmel Bay SMCA","SMCA","SMCA","OUTER","2",26.7,16.7,0,0,0,6.7,0,6.7,0,3.3,0,0,0,0,0,0,0,3.3,10,0,0,0,0,0,0,0,16.7,0,6.7,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"before","CENTRAL","BUTTERFLY_UC",36.539655,-121.936297,"Carmel Bay SMCA","SMCA","SMCA","INNER","1",6.7,0,0,0,3.3,0,0,3.3,0,60,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,23.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"before","CENTRAL","BUTTERFLY_UC",36.539655,-121.936297,"Carmel Bay SMCA","SMCA","SMCA","INNER","2",12,0,0,0,28,0,0,4,4,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"before","CENTRAL","BUTTERFLY_UC",36.539655,-121.936297,"Carmel Bay SMCA","SMCA","SMCA","MID","1",24.1,0,10.3,0,17.2,0,0,6.9,3.4,3.4,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,13.8,0,6.9,0,0,0,0,0,0,0,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"before","CENTRAL","BUTTERFLY_UC",36.539655,-121.936297,"Carmel Bay SMCA","SMCA","SMCA","MID","2",13.8,0,3.4,6.9,10.3,0,0,3.4,13.8,6.9,0,0,0,0,0,0,0,0,3.4,0,3.4,0,0,0,0,0,27.6,0,0,0,0,0,3.4,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"before","CENTRAL","BUTTERFLY_UC",36.539655,-121.936297,"Carmel Bay SMCA","SMCA","SMCA","OUTER","1",5,0,0,0,35,0,0,0,0,20,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"before","CENTRAL","BUTTERFLY_UC",36.539655,-121.936297,"Carmel Bay SMCA","SMCA","SMCA","OUTER","2",6.9,0,0,0,20.7,0,0,0,3.4,6.9,0,0,0,0,0,3.4,0,0,6.9,0,6.9,0,0,0,0,0,13.8,0,17.2,0,10.3,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"before","CENTRAL","CANNERY_DC",36.614953,-121.896037,"Lovers Point - Julia Platt SMR","SMR","ref","INNER","1",50,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,37.5,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"before","CENTRAL","CANNERY_DC",36.614953,-121.896037,"Lovers Point - Julia Platt SMR","SMR","ref","INNER","2",43.3,0,0,0,3.3,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,43.3,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"before","CENTRAL","CANNERY_DC",36.614953,-121.896037,"Lovers Point - Julia Platt SMR","SMR","ref","MID","1",13.6,0,4.5,0,9.1,0,0,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,45.5,0,4.5,0,0,0,4.5,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
