Survey method,Taxa,Common name,Taxonomic level,Trophic ecology
Swath,Pisaster brevispinus,Short spined star,Invertebrate,Macroinvertivore
Swath,Pterygophora californica,Pterygophora,Algae,Autotroph
Swath,Eisenia arborea,Eisenia,Algae,Autotroph
Swath,Macrocystis pyrifera,Giant kelp,Algae,Autotroph
Swath,Pisaster giganteus,Giant spined star,Invertebrate,Macroinvertivore
Swath,Stephanocystis osmundacea,Chain-bladder kelp,Algae,Autotroph
Swath,Strongylocentrotus purpuratus,Purple sea urchin,Invertebrate,Herbivore
Swath,Mesocentrotus franciscanus,Red sea urchin,Invertebrate,Detritivore (algal)
Swath,Patiria miniata,Bat star,Invertebrate,Detritivore (algal)
Swath,Tethya californiana,Orange puffball sponge,Invertebrate,Planktivore
Swath,Kelletia kelletii,Kellet's whelk,Invertebrate,Macroinvertivore
Swath,Orthasterias koehleri,Rainbow star,Invertebrate,Macroinvertivore
Swath,Pisaster ochraceus,Ochre star,Invertebrate,Macroinvertivore
Swath,Pycnopodia helianthoides,Sunflower star,Invertebrate,Macroinvertivore
Swath,Loxorhynchus grandis,Sheep crab,Invertebrate,Macroinvertivore
Swath,Neobernaya spadicea,Chestnut cowrie,Invertebrate,Microinvertivore
Swath,Cancridae family,,,
Swath,Lytechinus pictus,White urchin ,Invertebrate,Herbivore
Swath,Dermasterias imbricata,Leather star,Invertebrate,Microinvertivore
Swath,Crassadoma gigantea,Rock scallop,Invertebrate,Planktivore
Swath,Henricia leviuscula,Blood star,Invertebrate,Microinvertivore
Swath,Nereocystis luetkeana,Bull kelp,Algae,Autotroph
Swath,Pomaulax gibberosus,Red turban snail,Invertebrate,Herbivore
Swath,Aplysia californica,California brown sea hare,Invertebrate,Herbivore
Swath,Cryptochiton stelleri,Gumboot chiton,Invertebrate,Herbivore
Swath,Mediaster aequalis,Red sea star,Invertebrate,Microinvertivore
Swath,Loxorhynchus crispatus  or scyra acutifrons,"Decorator crab, moss crab",Invertebrate,Detritivore (algal)
Swath,Stylaster californicus,California hydrocoral,Invertebrate,Planktivore
Swath,Haliotis rufescens,Red abalone,Invertebrate,Detritivore (algal)
Swath,Metridium,White plumed anemones,Invertebrate,Planktivore
Swath,Megathura crenulata,Giant keyhole limpet,Invertebrate,Herbivore
Swath,Alaria marginata,Alaria,Algae,Autotroph
Swath,Anthopleura sola,Green anemone,Invertebrate,Planktivore
Swath,Pugettia producta,Northern kelp crab,Invertebrate,Herbivore
Swath,Megastraea undosa,Wavy turban snail,Invertebrate,Herbivore
Swath,Anthopleura xanthogrammica,Giant green anemone,Invertebrate,Planktivore
Swath,Pugettia richii,Cryptic kelp crab,Invertebrate,Herbivore
Swath,Costaria costata,Five-ribbed kelp,Algae,Autotroph
Swath,Cucumaria miniata,Orange sea cucumber,Invertebrate,Planktivore
Swath,Cribrinopsis albopunctata,White-spotted rose anemone,Invertebrate,Microinvertivore
Swath,Ceratostoma foliatum,Leafy hornmouth,Invertebrate,Microinvertivore
Swath,Pugettia foliata,Kelp crab,Invertebrate,Herbivore
Swath,Styela montereyensis,Stalked tunicate,Invertebrate,Planktivore
Swath,Apostichopus parvimensis,Warty sea cucumber,Invertebrate,Detritivore (algal)
Swath,Apostichopus californicus,California sea cucumber,Invertebrate,Detritivore (algal)
Swath,Laminaria setchellii,Southern stiff-stiped kelp,Algae,Autotroph
Swath,Balanus nubilus,Barnacle,Invertebrate,Planktivore
Swath,Laminaria farlowii,Oar weed,Algae,Autotroph
Swath,Pleurophycus gardneri,Tender kelp,Algae,Autotroph
Swath,Pachycerianthus fimbriatus,Burrowing anemone,Invertebrate,Planktivore
Swath,Haliotis walallensis,Flat abalone,Invertebrate,Detritivore (algal)
Swath,Haliotis kamtschatkana,Pinto abalone,Invertebrate,Detritivore (algal)
Swath,Craniella arb,Grey tennis ball sponge,Invertebrate,Planktivore
Swath,Aplysia vaccaria,Black sea hare,Invertebrate,Herbivore
Swath,Cryptolithodes sitchensis,Umbrella crab,Invertebrate,Microinvertivore
Swath,Leptasterias hexactis,Six-rayed star,Invertebrate,Macroinvertivore
Swath,Urticina,Urticina spp.,Invertebrate,Planktivore
UPC,Red algae branching flat blade,Red algae (branching flat blade),Algae,Autotroph
UPC,Phaeophyceae,Brown algae,Algae,Autotroph
UPC,Bryozoa,Bryozoan,Invertebrate,Planktivore
UPC,Corynactis californica,Strawberry anemone,Invertebrate,Planktivore
UPC,Coralline algae crustose,Coralline algae crustose,Algae,Autotroph
