"site","period_1","period_2","df","SumOfSqs","R2","statistic","p.value"
"WESTON_DC","before","during",1,0.110031456675271,0.238613546803582,1.88036085329739,0.032
"WESTON_DC","before","after",1,0.268491919445404,0.382346667496991,4.95224939138659,0.008
"WESTON_UC","before","during",1,0.140588171490345,0.231244112887396,2.40642437230297,0.011
"WESTON_UC","before","after",1,0.294201199366135,0.378545787380497,5.48216106229924,0.006
"BLUEFISH_UC","before","during",1,0.175074732710697,0.307586240220541,3.55378541660998,0.006
"BLUEFISH_UC","before","after",1,0.310339537140545,0.396395477504479,5.91042506240796,0.012
"BLUEFISH_DC","before","during",1,0.143523910999769,0.293030602323187,2.90141867951122,0.01
"BLUEFISH_DC","before","after",1,0.215638412874649,0.366653394283376,4.631314240562,0.007
"MONASTERY_UC","before","during",1,0.106103272657081,0.235847114329443,2.16047054361037,0.011
"MONASTERY_UC","before","after",1,0.255538605370466,0.38832196429895,5.07877597865864,0.007
"MONASTERY_DC","before","during",1,0.143756069611725,0.246347454275792,2.61497111021174,0.006
"MONASTERY_DC","before","after",1,0.26609117090551,0.3552730234119,4.95939727484038,0.006
"BUTTERFLY_DC","before","during",1,0.100183018310867,0.263644072267758,1.79019454002159,0.042
"BUTTERFLY_DC","before","after",1,0.252409797615389,0.404793195216114,4.76061823174491,0.008
"BUTTERFLY_UC","before","during",1,0.143245759645603,0.309723791158382,2.24347722832679,0.051
"BUTTERFLY_UC","before","after",1,0.30159234693822,0.392966340970956,4.53148576834531,0.016
"PESCADERO_DC","before","during",1,0.144989121419031,0.245587279557377,2.60427506485616,0.013
"PESCADERO_DC","before","after",1,0.331026522480184,0.409253502747004,6.23496125977979,0.002
"STILLWATER_DC","before","during",1,0.155376655737649,0.258529324336092,2.44069702248473,0.01
"STILLWATER_DC","before","after",1,0.335868004714158,0.395001554708741,5.22317447633876,0.005
"STILLWATER_UC","before","during",1,0.136169444051556,0.230972386838693,2.10240397119748,0.012
"STILLWATER_UC","before","after",1,0.339579089262406,0.382952326396047,4.9649625826719,0.003
"PESCADERO_UC","before","during",1,0.11864683109991,0.226343173796881,2.0479392967473,0.028
"PESCADERO_UC","before","after",1,0.343303004291289,0.406709493642565,6.1696342745418,0.006
"LONE_TREE","before","during",1,0.120523848099122,0.38341039625465,1.86547288792594,0.2
"LONE_TREE","before","after",1,0.251604431687518,0.405228115491403,4.08790118745648,0.028
"CANNERY_UC","before","during",1,0.149773412099293,0.30087626147485,2.15180979342491,0.058
"CANNERY_UC","before","after",1,0.211126786232935,0.341898714309653,3.1171376358975,0.016
"CANNERY_DC","before","during",1,0.16510178864449,0.322395840265265,2.37893935296586,0.034
"CANNERY_DC","before","after",1,0.251148610757231,0.359602193193642,3.3691763716709,0.018
"MACABEE_UC","before","during",1,0.21355766785507,0.234447761578364,2.44997271054143,0.026
"MACABEE_UC","before","after",1,0.254970552561381,0.273127295924211,3.00605368057109,0.007
"MACABEE_DC","before","during",1,0.215501772549289,0.260636552105069,2.8201183366274,0.007
"MACABEE_DC","before","after",1,0.354345505277485,0.377416538458943,4.84968280429086,0.01
"HOPKINS_UC","before","during",1,0.11252973526663,0.19497341823861,1.93756005236011,0.007
"HOPKINS_UC","before","after",1,0.286508254041625,0.353876951319247,4.92923533431612,0.002
"HOPKINS_DC","before","during",1,0.137523433670799,0.226621758452844,2.3442268869575,0.011
"HOPKINS_DC","before","after",1,0.447500766700818,0.461692738719935,7.71907597642003,0.004
"LOVERS_UC","before","during",1,0.14214571663877,0.352177462966128,2.71816309894536,0.034
"LOVERS_UC","before","after",1,0.376202906885599,0.482796983059411,5.60086040389286,0.031
"LOVERS_DC","before","during",1,0.132003993116722,0.273799799344519,1.88515370208781,0.035
"LOVERS_DC","before","after",1,0.354006525739823,0.435809726322289,4.63471009680583,0.026
"SIREN","before","during",1,0.13766325657095,0.286140735145793,2.40501804123169,0.019
"SIREN","before","after",1,0.254265378555794,0.392356734674183,4.5199170293554,0.014
"OTTER_PT_UC","before","during",1,0.087379600108704,0.159368004069565,1.13748706811836,0.352
"OTTER_PT_UC","before","after",1,0.290988580607861,0.410609781141958,4.87668165508866,0.007
"OTTER_PT_DC","before","during",1,0.12015772779056,0.228998541190014,1.78208644282047,0.081
"OTTER_PT_DC","before","after",1,0.383325573753609,0.430726685996441,5.29637825593953,0.009
