"campus","sample_type","sample_subtype","classcode","orig_classcode","Kingdom","Phylum","Class","Order","Family","Genus","Species","species_definition","taxonomic_source","taxonomic_id","common_name","notes","size_cutoff","LOOKED1999","LOOKED2000","LOOKED2001","LOOKED2002","LOOKED2003","LOOKED2004","LOOKED2005","LOOKED2006","LOOKED2007","LOOKED2008","LOOKED2009","LOOKED2010","LOOKED2011","LOOKED2012","LOOKED2013","LOOKED2014","LOOKED2015","LOOKED2016","LOOKED2017","LOOKED2018","LOOKED2019","LOOKED2020","LOOKED2021"
"HSU","FISH","FISH","AARG","AARG","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Amphistichus","argenteus","Amphistichus argenteus","WoRMS","279594","Barred Surfperch",NA,NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","AARG","AARG","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Amphistichus","argenteus","Amphistichus argenteus","WoRMS","279594","Barred Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"VRG","FISH","FISH","AARG","Amphistichus argenteus","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Amphistichus","argenteus","Amphistichus argenteus","WoRMS","279594","Barred Surfperch",NA,NA,"no","no","no","no","no","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"HSU","FISH","FISH","ACOR","ACOR","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Artedius","corallinus","Artedius corallinus","WoRMS","279699","Coralline Sculpin","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","FISH","FISH","ACOR","ACOR","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Artedius","corallinus","Artedius corallinus","WoRMS","279699","Coralline Sculpin","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","ACOR","ACOR","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Artedius","corallinus","Artedius corallinus","WoRMS","279699","Coralline Sculpin","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"VRG","FISH","FISH","ACOR","Artedius corallinus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Artedius","corallinus","Artedius corallinus","WoRMS","279699","Coralline Sculpin","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"HSU","FISH","FISH","ADAV","ADAV","Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Anisotremus","davidsonii","Anisotremus davidsonii","WoRMS","279617","Sargo",NA,NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","ADAV","ADAV","Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Anisotremus","davidsonii","Anisotremus davidsonii","WoRMS","279617","Sargo",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","ADAV","ADAV","Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Anisotremus","davidsonii","Anisotremus davidsonii","WoRMS","279617","Sargo",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
